id,next_id,speaker,scene,content,type,choices,target,condition,expression,fx,bg,effect,nameOverride,bgm
pre_0001,pre_0002,林子月,前置剧情,啊！,line,,,,,,一黑一亮类似睁眼的特效（有时间做）,,"",
pre_0002,pre_0003,师弟,前置剧情,师姐，你怎么了，怎么突然坐到地上了？,line,,,,黑色蒙版,,实验室,,"",
pre_0003,pre_0004,林子月,前置剧情,没事，刚刚突然摔跤了而已。,line,,,,,,实验室,,"",
pre_0004,pre_0005,,前置剧情,大脑神经宛如冬日冷风洗礼一般疼痛，我仔细扫视过眼前的场景，各式各样的实验器材看似凌乱却井井有条地堆放在干净的桌面上，不少眼熟的师弟师妹正在整理今日的实验数据，一切都与自己记忆中的一模一样。,narration,,,,,,实验室,,"",
pre_0005,pre_0006,林子月,前置剧情,这是什么重生的戏码吗……不对，明明是死了才对，走马灯？,line,,,,,,实验室,,"",
pre_0006,pre_0007,师妹,前置剧情,师姐，你在嘀嘀咕咕什么呢？洪哥说你刚刚晕倒了，是不是最近项目临近收尾太累了？明天周末，要不好好休息一下吧，毕竟你可是顶梁柱，你倒了我们可怎么办呀——,line,,,,黑色蒙版,,实验室,,"",
pre_0007,pre_0008,,前置剧情,往日聒噪的师弟师妹们叽叽喳喳的声音，此刻却别有一些温暖的味道在里面。,narration,,,,,,实验室,,"",
pre_0008,pre_0009,林子月,前置剧情,好好，祖宗们，明天我好好休息一下，可以放心了吧？,line,,,,,,实验室,,"",
pre_0009,pre_0010,师妹,前置剧情,好嘞！今天时间不早了，我就先回宿舍了，师姐你也早点回去哦！,line,,,,黑色蒙版,,实验室,,"",
pre_0010,pre_0011,,前置剧情,繁杂的人声渐渐消失在走廊尽头，人头攒动的实验室顷刻间只剩下了我一人。无寂静的环境本最适合整理实验数据，对于此刻的我来说却更适合整理纷乱的思绪。,narration,,,,,,实验室,,"",
pre_0011,pre_0012,,前置剧情,明明上一刻自己还在高楼之上、天台边上，眼前闪过她恶毒的神情和猛推向我的双手，不过须臾却回到了学生时代。这太荒谬了，除了背离科学的重生，没有什么可以解释这一幕。,narration,,,,,,实验室,,"",
pre_0012,pre_0013,,前置剧情,上一世，我被唐沁窃取了实验中仅我经手的实验数据，她伙同导师一起给我安上了学术失信的名头。自己多年的学术成果最终却假手他人，我心有不甘，却因为没有证据无法翻案，还被唐沁自高楼推下，死于非命。,narration,,,,,,做旧滤镜的实验室,,"",
pre_0013,pre_0014,,前置剧情,上天好不容易给了我这一次重来的机会，这次我一定要好好把握住！,narration,,,,,,实验室,,"",
pre_0014,pre_0015,林子月,前置剧情,普通人翻案难如登天，除了积极收集证据以外，不知还有什么能保护自己……,line,,,,,,实验室,,"",
pre_0015,pre_0016,,前置剧情,忽地，我的余光扫过手机屏幕上的垃圾短信：【最高可判定刑事责任！玉养人十年的真相竟然是……】,narration,,,,,,实验室,,"",
pre_0016,pre_0017,,前置剧情,数日后。,narration,,,,,,纯黑背景,,"",
pre_0017,pre_0018,唐沁,前置剧情,"子月，导师特意让我来感谢你。虽然我做了很多数据，但在这其中你也出了很多力呀，你做错的地方我会帮你修改的。我们都出身一个师门，都是我应该做的。",line,,,,得意洋洋,,实验室,,"",
pre_0018,pre_0019,林子月,前置剧情,不用谢，沁沁。一定要拿到正确的实验数据就好。,line,,,,,,实验室,,"",
pre_0019,pre_0020,,前置剧情,小巧的U盘静静地躺在我的掌心，灯火为其镀上了一层晶莹的亮光，我心情愉悦地看着眼前的大小姐表情突变。,narration,,,,,,实验室,,"",
pre_0020,pre_0021,唐沁,前置剧情,你什么意思？？林子月，你留后手？,line,,,,神情惊慌,,实验室,,"",
pre_0021,pre_0022,林子月,前置剧情,实验室唐沁，话不要乱说，我们的实验方向不一样，数据本来应该不共享才对。你拿到的数据，你自己负责。,line,,,,,,实验室,,"",
pre_0022,pre_0023,唐沁,前置剧情,好啊，你耍我？,line,,,,生气愤怒,,实验室,,"",
pre_0023,pre_0024,,前置剧情,我猜唐某——我的导师，也是她的——叮嘱过她，但她性子急，几句话就坐不住了，红着眼睛要来抢我手中u盘。我顺着她的力道将手腕往桌角一撞，玉石碎裂声在此时格外的悦耳，连带着我也一起摔倒了。紧急通话正打开110的页面。,narration,,,,,,实验室,,"",
pre_0024,,警察,前置剧情,报案人林子月，你先说说吧，发生了什么？,line,,,,严肃认真,,警察局,,"",
